Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-06-02,9.70025,9.70025,9.70025,9.70025,631408.73998255
1998-06-03,10.6573,10.6573,10.6573,10.6573,242050.56402553
1998-06-04,11.6143,11.6143,11.6143,11.6143,716860.4671155
1998-06-05,11.7543,11.7543,11.7543,11.7543,275520.17724552
1998-06-08,11.7058,11.7058,11.7058,11.7058,154985.63279393
1998-06-09,11.2274,11.2274,11.2274,11.2274,107054.01643489
1998-06-10,10.3197,10.3197,10.3197,10.3197,213878.51196143
1998-06-15,9.70025,9.70025,9.70025,9.70025,353620.67757125
1998-06-16,10.037,10.037,10.037,10.037,292523.30472694
1998-06-17,10.9895,10.9895,10.9895,10.9895,180003.41180336
1998-06-18,11.1789,11.1789,11.1789,11.1789,155680.7532592
1998-06-19,11.0855,11.0855,11.0855,11.0855,212935.29032381
1998-06-22,11.3746,11.3746,11.3746,11.3746,304760.04801177
1998-06-23,11.7058,11.7058,11.7058,11.7058,292819.49599438
1998-06-24,11.7058,11.7058,11.7058,11.7058,104104.12628432
1998-06-25,11.7058,11.7058,11.7058,11.7058,118867.78547434
1998-06-26,12.0865,12.0865,12.0865,12.0865,432452.36593355
1998-06-29,12.3271,12.3271,12.3271,12.3271,196770.4606362
1998-06-30,12.4241,12.4241,12.4241,12.4241,176312.49700586
1998-07-01,13.0444,13.0444,13.0444,13.0444,228874.97092991
1998-07-02,13.2833,13.2833,13.2833,13.2833,194252.28838466
1998-07-03,13.6199,13.6199,13.6199,13.6199,204238.63381101
1998-07-06,14.0948,14.0948,14.0948,14.0948,233706.93252889
1998-07-07,14.48,14.48,14.48,14.48,452077.49655362
1998-07-08,14.3326,14.3326,14.3326,14.3326,140683.20133402
1998-07-09,13.6199,13.6199,13.6199,13.6199,314117.94333194
1998-07-10,13.6199,13.6199,13.6199,13.6199,136325.58294562
1998-07-13,14.5724,14.5724,14.5724,14.5724,55922.222839514
1998-07-14,15.6712,15.6712,15.6712,15.6712,278532.36592835
1998-07-15,15.6712,15.6712,15.6712,15.6712,167749.18121124
1998-07-16,15.5276,15.5276,15.5276,15.5276,107233.26133474
1998-07-17,15.9101,15.9101,15.9101,15.9101,185949.09628616
1998-07-20,15.5276,16.6274,15.5276,16.4855,164334.78446045
1998-07-21,16.6274,16.6274,16.1489,16.2467,240108.37995826
1998-07-22,15.9101,15.9101,15.5276,15.6712,203062.61239493
1998-07-23,15.7692,16.6274,15.7692,16.3886,186561.15204175
1998-07-24,16.007,16.4855,16.007,16.2467,173977.941481
1998-07-27,16.1489,16.1489,15.2897,15.4361,156529.98062007
1998-07-28,15.5276,15.5276,15.0509,15.1982,223154.43552863
1998-07-29,14.8121,15.1982,14.48,15.1982,246379.76553957
1998-07-30,15.2897,15.6712,15.0509,15.1982,121166.27342789
1998-07-31,15.6712,15.6712,15.2897,15.4361,130152.56346789
1998-08-03,15.0509,15.2897,14.9567,15.1982,406403.92874999
1998-08-04,15.2897,16.007,15.2897,16.007,145398.21656542
1998-08-05,15.5276,16.007,15.5276,15.7692,212125.40940437
1998-08-06,16.2467,16.6274,15.9101,16.007,206422.36131039
1998-08-07,16.4855,17.2038,16.2467,17.2038,261588.25810908
1998-08-10,16.7244,17.2038,16.7244,16.9632,191012.7647069
1998-08-11,16.3886,16.3886,15.1982,15.4361,315515.83495942
1998-08-12,16.2467,16.3886,15.6712,16.007,290470.73203233
1998-08-13,15.2897,15.2897,14.7188,15.0509,339328.08272169
1998-08-14,15.5276,16.007,15.5276,15.9101,128668.3282606
1998-08-17,15.0509,15.2897,14.9567,15.1982,123918.3384146
1998-08-18,15.7692,16.007,15.7692,15.7692,152781.13911713
1998-08-19,16.3886,16.3886,15.7692,16.2467,216026.17188951
1998-08-20,16.1489,16.2467,16.007,16.1489,301249.47107082
1998-08-21,15.1982,15.4361,15.0509,15.4361,216382.47577579
1998-08-24,15.7692,15.7692,15.4361,15.4361,112357.04237433
1998-08-25,16.007,16.1489,15.9101,15.9101,191557.05714669
1998-08-26,15.4361,15.4361,15.0509,15.0509,98043.681347351
1998-08-27,14.48,14.48,13.3811,13.3811,148939.39629414
1998-08-28,13.0444,13.7626,12.566,13.3811,200124.74476813
1998-08-31,13.6199,13.6199,13.3811,13.5211,257654.70692276
1998-09-01,12.4241,13.1414,12.4241,12.9026,168774.37460184
1998-09-02,13.6199,14.2403,13.6199,14.0006,250648.85443475
1998-09-03,13.3811,13.3811,12.8038,12.8038,119173.81335213
1998-09-04,13.3811,13.8587,13.3811,13.7626,258476.61036597
1998-09-07,14.48,14.7188,14.0006,14.2403,215254.54445479
1998-09-08,14.48,14.9567,14.3326,14.9567,228884.80754027
1998-09-09,14.3326,14.3326,13.8587,14.0006,157898.36241648
1998-09-10,14.0948,14.3326,13.8587,13.8587,288067.32023496
1998-09-11,13.6199,13.7626,13.6199,13.6199,184338.07810093
1998-09-14,14.2403,14.3326,14.0006,14.2403,100927.99409553
1998-09-15,14.2403,14.2403,13.7626,13.7626,69075.956801003
1998-09-16,13.8587,13.8587,13.7626,13.7626,105153.36472246
1998-09-17,13.1414,13.1414,12.6638,12.6638,132748.33564558
1998-09-18,12.6638,13.1414,12.6638,13.1414,72989.834766611
1998-09-21,12.9026,12.9026,12.6638,12.6638,292532.0483806
1998-09-22,13.3811,13.8587,13.3811,13.6199,132134.09397658
1998-09-23,14.2403,14.48,14.2403,14.3326,228967.87224995
1998-09-24,15.2897,15.2897,14.8121,14.8121,156018.47688148
1998-09-25,14.5724,14.7188,14.3326,14.5724,173448.9504351
1998-09-28,15.0509,15.2897,14.9567,15.2897,110917.618392
1998-09-29,15.9101,16.2467,15.7692,16.1489,230459.75815419
1998-09-30,15.9101,15.9101,15.2897,15.7692,157817.48362021
1998-10-01,15.0509,15.0509,14.5724,14.8121,84837.485463955
1998-10-02,14.3326,15.0509,14.3326,14.9567,95021.656054163
1998-10-05,14.9567,15.2897,14.8121,14.8121,54859.868920896
1998-10-06,15.0509,15.1982,15.0509,15.1982,77034.867536986
1998-10-07,15.5276,15.5276,15.2897,15.2897,153156.02326742
1998-10-08,15.6712,15.6712,15.1982,15.1982,129048.67719442
1998-10-09,15.5276,15.5276,15.1982,15.5276,148991.85821605
1998-10-12,16.1489,16.1489,15.9101,16.007,102692.02621966
1998-10-13,15.7692,15.7692,15.6712,15.6712,54658.764886919
1998-10-14,15.9101,15.9101,15.4361,15.9101,27812.469307687
1998-10-15,16.2467,16.2467,15.7692,15.7692,68235.473093783
1998-10-16,16.2467,16.4855,16.007,16.4855,47167.639621273
1998-10-19,16.4855,16.4855,16.007,16.007,12295.762946967
1998-10-20,16.4855,16.867,16.4855,16.867,182628.69381213
1998-10-21,16.7244,17.105,16.6274,17.105,65675.768487401
1998-10-22,17.105,18.1553,17.105,17.8232,63801.34773593
1998-10-23,17.9202,18.633,17.9202,17.9202,102018.76488852
1998-10-26,17.9202,18.3008,17.6814,18.063,101510.54002004
1998-10-27,18.1553,18.1553,17.6814,18.063,83098.591344078
1998-10-28,18.063,18.5405,18.063,18.5405,105141.34219869
1998-10-29,18.1553,18.633,18.1553,18.3942,44887.731931729
1998-10-30,18.3942,19.0199,18.3942,18.633,36794.387520858
1998-11-02,19.1115,20.3073,19.1115,19.8288,63769.651991445
1998-11-03,19.5909,19.5909,19.3511,19.5909,101811.1031143
1998-11-04,19.9715,20.4509,19.9715,20.4509,40002.215454134
1998-11-05,20.547,20.547,19.7328,20.0676,122775.1056997
1998-11-06,21.0264,21.0264,19.8288,20.3073,143077.86947774
1998-11-09,20.547,20.547,19.8288,20.2103,61513.789349441
1998-11-10,20.0676,20.3073,20.0676,20.0676,136515.75741253
