Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-04-21,96.4021,111.169,96.4021,105.962,40143.657275958
2011-04-26,105.698,106.997,104.213,105.962,1554.8131110477
2011-04-27,106.128,106.401,105.698,106.04,1485.2098908033
2011-04-28,106.821,112.029,106.821,110.729,1932.5129385504
2011-04-29,112.898,112.898,111.257,112.029,1951.9608971481
2011-05-02,112.029,112.126,111.941,112.029,446.2794709788
2011-05-04,112.029,112.898,108.57,112.898,16639.263945485
2011-05-05,112.898,116.982,112.898,116.288,1104.4393329957
2011-05-06,112.898,115.077,112.029,115.077,584.4623346993
2011-05-09,117.07,117.158,112.898,117.158,4148.5566419199
2011-05-10,116.386,117.158,115.077,117.158,294.7901092704
2011-05-11,117.158,117.158,116.386,116.454,1192.4669350695
2011-05-12,117.07,119.844,116.816,119.844,3916.2047155158
2011-05-13,130.181,137.225,125.931,130.269,6081.0695804703
2011-05-16,128.539,137.225,128.539,136.355,1747.2455434881
2011-05-17,138.084,142.784,134.626,134.626,1691.9723979999
2011-05-18,136.355,136.355,122.717,129.409,574.2265670163
2011-05-19,124.202,124.202,121.593,123.498,611.0753306751
2011-05-20,117.343,125.931,117.343,125.931,1212.9384704355
2011-05-23,124.202,125.853,124.202,125.061,258.9649223799
2011-05-25,121.593,121.593,121.593,121.593,10.235767683
2011-05-26,121.593,123.322,121.593,123.322,833.1914893962
2011-05-30,125.667,133.756,125.667,130.708,126.9235192692
2011-06-01,126.371,132.008,126.371,132.008,95.1926394519
2011-06-02,132.008,133.756,128.539,133.756,140.2300172571
2011-06-03,125.931,135.916,125.931,135.916,273.2949971361
2011-06-06,135.916,136.355,135.916,136.355,41.9666475003
2011-06-07,134.626,134.626,134.626,134.626,80.8625646957
2011-06-08,131.138,134.626,129.409,129.409,212.9039678064
2011-06-10,130.269,130.269,130.269,130.269,46.0609545735
2011-06-14,125.931,125.931,125.931,125.931,2.0471535366
2011-06-16,125.931,130.269,121.671,130.269,231.3283496358
2011-06-20,122.629,129.409,122.629,129.409,114.6405980496
2011-06-21,121.593,128.539,121.593,128.539,57.3202990248
2011-06-22,126.8,126.8,126.8,126.8,3230.4082807548
2011-06-24,129.409,130.269,129.409,130.269,109.5227142081
2011-06-27,131.226,134.528,130.269,130.269,8425.0603798773
2011-06-28,130.269,131.138,130.269,131.138,48.1081081101
2011-06-29,134.528,138.084,131.324,138.084,983.6572743363
2011-06-30,138.954,138.954,134.694,138.084,5839.5054631515
2011-07-01,138.084,138.084,135.046,138.084,3538.5048880131
2011-07-04,138.084,138.084,138.084,138.084,1.0235767683
2011-07-05,135.046,135.046,135.046,135.046,41.9666475003
2011-07-06,135.046,135.046,135.046,135.046,128.9706728058
2011-07-07,139.394,139.394,139.394,139.394,145.3479010986
2011-07-08,139.394,141.562,139.394,141.562,288.6486486606
2011-07-11,140.693,140.693,138.954,138.954,23077.561818092
2011-07-12,138.954,138.954,138.954,138.954,13598.217366866
2011-07-13,138.876,138.954,134.968,134.968,276.365727441
2011-07-18,134.968,134.968,134.968,134.968,17.4008050611
2011-07-19,135.046,135.046,134.626,134.626,572.1794134797
2011-07-20,134.626,134.626,134.626,134.626,29.6837262807
2011-07-21,130.366,138.084,130.269,138.084,207.7860839649
2011-07-25,130.786,130.786,130.786,130.786,15.3536515245
2011-07-26,130.786,137.225,130.786,137.225,62.4381828663
2011-07-27,137.225,138.954,137.225,138.954,36.8487636588
2011-07-29,138.954,138.954,138.954,138.954,57.3202990248
2011-08-02,137.225,137.225,137.225,137.225,9238.8039106758
2011-08-03,134.626,134.626,134.626,134.626,23101.104083763
2011-08-04,134.626,134.626,129.409,134.528,249.7527314652
2011-08-05,124.202,131.138,124.202,131.138,8654.3415759765
2011-08-08,126.019,131.138,121.671,130.269,912.0069005553
2011-08-09,121.671,124.632,121.671,123.752,16531.788384813
2011-08-10,123.752,123.752,111.433,121.242,559.8964922601
2011-08-11,120.284,120.284,120.284,120.284,15.3536515245
2011-08-12,122.199,125.931,122.199,125.931,324.4738355511
2011-08-16,126.273,130.269,126.273,130.269,599.8159862238
2011-08-17,125.061,125.061,125.061,125.061,60.3910293297
2011-08-18,125.931,125.931,125.931,125.931,17.4008050611
2011-08-19,120.714,123.068,118.985,123.068,1126.9580218983
2011-08-22,118.985,122.375,118.115,122.375,356.2047153684
2011-08-23,122.375,122.375,117.246,117.246,129.9942495741
2011-08-25,114.207,115.516,112.898,115.516,1546.6244969013
2011-08-26,115.516,121.593,114.637,117.246,382.8177113442
2011-08-29,117.246,118.809,116.386,118.809,5882.4956874201
2011-08-30,122.023,122.023,120.284,120.284,149.4422081718
2011-08-31,121.154,121.154,119.844,119.844,3105.5319150222
