Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-03-10,20.4156,20.4156,20.4156,20.4156,219480.92013228
1999-03-11,22.3021,22.3021,22.3021,22.3021,111419.10552756
1999-03-12,24.4478,24.4478,24.4478,24.4478,105468.83638493
1999-03-15,26.8491,26.8491,26.8491,26.8491,73600.36553978
1999-03-16,26.8491,26.8491,26.8491,26.8491,172986.28346997
1999-03-17,26.8491,26.8491,26.8491,26.8491,78913.707429888
1999-03-18,27.0211,27.0211,27.0211,27.0211,49634.003715273
1999-03-19,28.3062,28.3062,28.3062,28.3062,24667.508188448
1999-03-22,25.9914,25.9914,25.9914,25.9914,4075.2816438685
1999-03-23,26.5062,26.5062,26.5062,26.5062,10025.550786505
1999-03-24,25.5621,25.5621,25.5621,25.5621,12889.09149209
1999-03-25,25.733,25.733,25.733,25.733,23977.942320007
1999-03-26,26.8491,26.8491,26.8491,26.8491,10824.604976042
1999-03-29,27.2775,27.2775,27.2775,27.2775,20312.189107931
1999-03-30,27.0211,27.0211,27.0211,27.0211,7243.0735494227
1999-03-31,25.9914,25.9914,25.9914,25.9914,2685.6221838048
1999-04-01,25.9914,25.9914,25.9914,25.9914,6686.156993079
1999-04-06,25.5621,25.5621,25.5621,25.5621,5451.2550637952
1999-04-07,25.9914,25.9914,25.9914,25.9914,19012.015294917
1999-04-08,26.4208,26.4208,26.4208,26.4208,7291.5010760613
1999-04-09,26.8491,26.8491,26.8491,26.8491,17909.76267773
1999-04-12,27.0211,27.0211,27.0211,27.0211,21662.89599222
1999-04-13,27.7059,27.7059,27.7059,27.7059,22960.964260597
1999-04-14,27.7923,27.7923,27.7923,27.7923,12566.943162712
1999-04-15,27.8797,27.8797,27.8797,27.8797,5274.3893143325
1999-04-16,28.9939,28.9939,28.9939,28.9939,17725.527522039
1999-04-19,31.1388,31.1388,31.1388,31.1388,12111.092748919
1999-04-20,30.0236,30.0236,30.0236,30.0236,5461.7827869775
1999-04-21,31.2233,31.2233,31.2233,31.2233,20766.986749405
1999-04-22,32.1674,32.1674,32.1674,32.1674,23208.365755381
1999-04-23,32.4268,32.4268,32.4268,32.4268,17342.318398203
1999-04-26,32.1674,32.1674,32.1674,32.1674,3634.1700425301
1999-04-27,31.3087,31.3087,31.3087,31.3087,5758.6645807183
1999-04-28,31.3087,31.3087,31.3087,31.3087,17140.186113103
1999-04-29,30.8813,30.8813,30.8813,30.8813,24130.59430615
1999-04-30,31.4807,31.4807,31.4807,31.4807,6356.639257473
1999-05-04,31.9965,31.9965,31.9965,31.9965,11372.046581521
1999-05-05,32.4268,32.4268,32.4268,32.4268,20080.57919792
1999-05-06,33.6265,33.6265,33.6265,33.6265,13788.159051859
1999-05-07,33.2826,33.2826,33.2826,33.2826,10298.218816927
1999-05-10,33.0261,33.0261,33.0261,33.0261,3175.1613117818
1999-05-11,32.7677,32.7677,32.7677,32.7677,5925.0026069987
