Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-05-10,31.4164,33.1,30.8953,32.9491,1174342.3743186
2011-05-11,32.8686,32.8686,32.3947,32.3947,69951.741619947
2011-05-12,32.1513,32.7824,31.4646,32.3892,96876.371289359
2011-05-13,32.0716,32.1355,31.9153,32.0171,15752.404829663
2011-05-16,32.0319,32.3086,31.9782,32.2225,50392.784748655
2011-05-17,32.1513,32.2161,31.9153,31.9217,87932.108501791
2011-05-18,31.9921,32.0957,31.9217,31.9921,9983.6902823297
2011-05-19,31.9921,32.0411,31.1638,32.0319,29734.973654731
2011-05-20,32.0568,32.0568,31.7792,31.9921,27457.309248329
2011-05-23,32.0013,32.0013,31.7709,31.8357,49889.278290693
2011-05-24,31.5969,31.9921,31.2822,31.9921,52504.054317018
2011-05-25,31.9153,32.3892,31.9153,32.3892,11660.604494253
2011-05-26,32.1911,32.7047,32.1513,32.1513,42208.103591875
2011-05-27,31.9217,32.2299,31.9217,32.1911,12586.58096308
2011-05-30,31.9616,32.0716,31.6784,31.6848,19051.128469484
2011-05-31,31.6293,32.9269,31.5913,32.751,76517.854806713
2011-06-01,32.751,32.751,31.9921,32.6649,1932.9893847498
2011-06-02,32.6261,32.6261,31.9921,32.5391,7664.967409399
2011-06-03,32.0319,32.5057,31.9921,32.0319,7350.5459946633
2011-06-06,31.9217,32.3892,31.756,32.3892,48403.610093919
2011-06-07,31.9921,32.3892,31.9921,32.3892,68648.67555063
2011-06-08,31.9921,32.3892,31.9921,32.3892,149469.0254552
2011-06-09,32.2299,32.2299,31.9921,31.9921,47862.286627312
2011-06-10,31.9153,31.9921,31.6784,31.9921,71931.191901032
2011-06-13,31.9153,32.0716,31.9153,32.0319,27688.533244045
2011-06-14,31.6293,31.8431,31.6293,31.8431,73185.636102091
2011-06-15,31.6061,31.9921,31.6061,31.9782,14893.418490437
2011-06-16,30.1763,31.6376,30.1763,31.5969,21232.629625332
2011-06-17,31.4794,31.5969,31.124,31.5969,53511.067232942
2011-06-20,30.4132,31.5969,30.4132,31.3609,122650.28341
2011-06-21,31.2035,31.5969,31.2035,31.3609,142918.0390719
2011-06-22,31.2109,31.9847,31.2109,31.5969,3882.1860589189
2011-06-24,31.5913,31.756,31.4479,31.5969,14829.669818721
2011-06-27,31.5349,31.6784,31.5191,31.5969,66913.415096796
2011-06-28,30.9666,31.5969,30.9666,31.5969,3322.4943309701
2011-06-29,31.5191,31.756,31.5191,31.756,10543.382010279
2011-06-30,31.9921,31.9921,31.5969,31.9921,14736.748026049
2011-07-01,32.3892,33.9292,32.3892,33.8172,44374.477944264
2011-07-04,33.7709,34.3633,33.7709,34.3633,29780.354065105
