Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1996-01-30,10.5915,10.5915,10.5915,10.5915,282181.81062036
1996-01-31,10.9723,10.9723,10.9723,10.9723,298127.62796357
1996-02-01,10.9723,10.9723,10.9723,10.9723,144877.87193936
1996-02-02,11.4282,11.4282,11.4282,11.4282,238872.87952181
1996-02-05,11.5449,11.5449,11.5449,11.5449,93821.018304497
1996-02-06,11.4282,11.4282,11.4282,11.4282,174736.83188883
1996-02-07,10.9723,10.9723,10.9723,10.9723,494731.91227642
1996-02-08,11.4282,11.4282,11.4282,11.4282,290845.27673655
1996-02-09,12.5699,12.5699,12.5699,12.5699,295391.79655846
1996-02-12,13.8275,13.8275,13.8275,13.8275,174957.61828293
1996-02-13,14.4767,14.4767,14.4767,14.4767,528525.42975982
1996-02-14,14.0959,14.0959,14.0959,14.0959,199467.30787977
1996-02-15,14.0959,14.0959,14.0959,14.0959,193363.28403863
1996-02-16,14.0567,14.0567,14.0567,14.0567,90710.809970265
1996-02-19,13.7158,13.7158,13.7158,13.7158,98068.756538749
1996-02-20,13.5234,13.5234,13.5234,13.5234,142930.3919523
1996-02-21,13.5234,13.5234,13.5234,13.5234,174982.81673008
1996-02-22,13.9042,13.9042,13.9042,13.9042,86515.868482428
1996-02-23,13.8275,13.8275,13.8275,13.8275,55023.809172275
1996-02-26,13.9442,13.9442,13.9442,13.9442,90809.203906765
1996-02-27,13.8676,13.8676,13.8676,13.8676,97556.388113318
1996-02-28,13.7158,13.7158,13.7158,13.7158,20705.924002896
1996-02-29,14.2092,14.2092,14.2092,14.2092,132788.61693651
1996-03-01,14.2842,14.2842,14.2842,14.2842,60511.071021211
1996-03-04,14.7809,14.7809,14.7809,14.7809,127994.91234729
1996-03-05,15.7343,15.7343,15.7343,15.7343,122572.44650532
1996-03-06,16.2276,16.2276,16.2276,16.2276,65545.96074746
1996-03-07,17.8661,17.8661,17.8661,17.8661,68814.559320935
1996-03-08,16.3026,16.3026,16.3026,16.3026,97607.984933678
1996-03-11,16.1151,16.1151,16.1151,16.1151,43625.711577033
1996-03-12,16.2276,16.2276,16.2276,16.2276,63728.072774327
1996-03-13,16.4202,16.4202,16.4202,16.4202,68863.756289185
1996-03-14,16.2276,16.2276,16.2276,16.2276,36946.923155607
1996-03-15,16.3794,16.3794,16.3794,16.3794,12358.038439141
1996-03-18,16.9519,16.9519,16.9519,16.9519,23474.153411489
1996-03-19,17.4486,17.4486,17.4486,17.4486,70672.044853879
1996-03-20,18.0936,18.0936,18.0936,18.0936,108808.09472987
1996-03-21,17.9061,17.9061,17.9061,17.9061,209077.51565325
1996-03-22,18.0936,18.0936,18.0936,18.0936,52111.588637097
1996-03-25,18.0178,18.0178,18.0178,18.0178,224784.54771155
1996-03-26,17.7144,17.7144,17.7144,17.7144,12641.220988091
1996-03-27,17.6378,17.6378,17.6378,17.6378,13886.74423305
1996-03-28,17.8661,17.8661,17.8661,17.8661,22472.215155669
1996-03-29,17.9061,17.9061,17.9061,17.9061,23624.144168348
1996-04-01,17.8295,17.8295,17.8295,17.8295,14973.877238765
1996-04-02,17.6378,17.6378,17.6378,17.6378,15479.046107867
1996-04-03,17.4486,17.4486,17.4486,17.4486,19886.374507417
1996-04-04,17.2577,17.2577,17.2577,17.2577,23320.562876465
1996-04-05,17.4486,17.4486,17.4486,17.4486,51924.400172537
1996-04-09,17.1444,17.1444,17.1444,17.1444,30511.719723321
1996-04-10,17.1444,17.1444,17.1444,17.1444,33680.724434242
1996-04-11,17.2977,17.2977,17.2977,17.2977,15468.246773373
1996-04-12,17.3736,17.3736,17.3736,17.3736,4745.7075470243
1996-04-15,17.6378,17.6378,17.6378,17.6378,17883.697921833
1996-04-16,17.6378,17.6378,17.6378,17.6378,34214.69152866
1996-04-17,17.7144,17.7144,17.7144,17.7144,14643.897573675
1996-04-18,18.0178,18.0178,18.0178,18.0178,33573.931015358
1996-04-19,17.9061,17.9061,17.9061,17.9061,13207.586085992
1996-04-22,18.0178,18.0178,18.0178,18.0178,52110.388711042
1996-04-23,18.0936,18.0936,18.0936,18.0936,67863.017959421
1996-04-24,18.0936,18.0936,18.0936,18.0936,72279.94576741
1996-04-25,18.0936,18.0936,18.0936,18.0936,17269.335781738
1996-04-26,17.4486,17.4486,17.4486,17.4486,48834.590581238
1996-04-29,17.6378,17.6378,17.6378,17.6378,25852.406852248
1996-04-30,17.7144,17.7144,17.7144,17.7144,18424.864572581
1996-05-06,17.7144,17.7144,17.7144,17.7144,27634.297043735
1996-05-07,18.0936,18.0936,18.0936,18.0936,22884.989718546
1996-05-08,18.0936,18.0936,18.0936,18.0936,63435.290816938
1996-05-09,18.2862,18.2862,18.2862,18.2862,31961.230397608
1996-05-10,18.0936,18.0936,18.0936,18.0936,39344.375413244
1996-05-13,18.2862,18.2862,18.2862,18.2862,18345.66945296
1996-05-14,18.5903,18.5903,18.5903,18.5903,162973.95677291
1996-05-15,18.3987,18.3987,18.3987,18.3987,105023.5279528
1996-05-16,18.3987,18.3987,18.3987,18.3987,80840.218242877
1996-05-17,18.2102,18.2102,18.2102,18.2102,57907.231482136
1996-05-20,18.0578,18.0578,18.0578,18.0578,39291.57866683
1996-05-21,18.0178,18.0178,18.0178,18.0178,15732.230505445
1996-05-22,17.6786,17.6786,17.6786,17.6786,21692.263220002
1996-05-23,17.4486,17.4486,17.4486,17.4486,29029.811045552
1996-05-24,17.1811,17.1811,17.1811,17.1811,46415.539654613
1996-05-27,17.0694,17.0694,17.0694,17.0694,24226.507047894
1996-05-28,16.8002,16.8002,16.8002,16.8002,11365.699591761
1996-05-29,16.3794,16.3794,16.3794,16.3794,19190.41739559
1996-05-30,16.2276,16.2276,16.2276,16.2276,13185.987417004
1996-05-31,16.3026,16.3026,16.3026,16.3026,1321.1185864156
1996-06-03,16.4202,16.4202,16.4202,16.4202,1455.5103045614
1996-06-04,16.496,16.496,16.496,16.496,4571.7182690677
1996-06-05,16.5726,16.5726,16.5726,16.5726,25378.436060573
1996-06-07,16.496,16.496,16.496,16.496,2455.048708271
1996-06-10,16.5726,16.5726,16.5726,16.5726,2894.2216443547
1996-06-11,16.5726,16.5726,16.5726,16.5726,49632.541407729
1996-06-12,16.3435,16.3435,16.3435,16.3435,1928.2811701816
1996-06-13,16.3794,16.3794,16.3794,16.3794,6194.0182952565
1996-06-14,16.3026,16.3026,16.3026,16.3026,12176.849604855
1996-06-17,16.496,16.496,16.496,16.496,14879.08308043
1996-06-18,16.3026,16.3026,16.3026,16.3026,32137.619527675
1996-06-19,16.496,16.496,16.496,16.496,55226.596675549
1996-06-20,16.5319,16.5319,16.5319,16.5319,125121.08944587
1996-06-21,16.3794,16.3794,16.3794,16.3794,102585.27820929
1996-06-24,16.3794,16.3794,16.3794,16.3794,68584.1735184
1996-06-25,16.3794,16.3794,16.3794,16.3794,72125.155306331
1996-06-26,16.496,16.496,16.496,16.496,166472.94114892
1996-06-27,16.3794,16.3794,16.3794,16.3794,64247.640756087
1996-06-28,16.3026,16.3026,16.3026,16.3026,117659.94923667
1996-07-01,16.3026,16.3026,16.3026,16.3026,27016.335125475
1996-07-02,16.1927,16.1927,16.1927,16.1927,55094.604809513
1996-07-03,16.1927,16.1927,16.1927,16.1927,29092.207200406
1996-07-04,16.1927,16.1927,16.1927,16.1927,67473.041991587
1996-07-05,16.876,16.876,16.876,16.876,121146.93435213
1996-07-08,16.3026,16.3026,16.3026,16.3026,142996.38788532
1996-07-09,16.1927,16.1927,16.1927,16.1927,67230.656928502
1996-07-10,16.1927,16.1927,16.1927,16.1927,20533.134650994
1996-07-11,16.0401,16.0401,16.0401,16.0401,28716.63034523
1996-07-12,16.0401,16.0401,16.0401,16.0401,2312.2575077411
1996-07-15,16.0401,16.0401,16.0401,16.0401,22327.02410303
1996-07-16,15.9226,15.9226,15.9226,15.9226,14913.880936022
1996-07-17,15.5435,15.5435,15.5435,15.5435,28307.455560519
1996-07-18,15.3543,15.3543,15.3543,15.3543,6576.7947067612
