Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-10-09,6.6904,6.70519,5.98544,6.338,68228.145956366
2007-10-10,6.57307,6.61711,6.25711,6.44822,33509.578308775
2007-10-11,6.44822,6.63909,6.43352,6.60975,16991.732571651
2007-10-12,6.60248,6.60248,6.31585,6.42626,10417.419608754
2007-10-15,6.22787,6.49218,6.22787,6.41145,11590.578479594
2007-10-16,6.38949,6.41145,6.26463,6.41145,15023.368476043
2007-10-17,6.42626,6.65388,6.41881,6.60975,40871.005745606
2007-10-18,6.62446,6.63909,6.49953,6.49953,3440.8807472828
2007-10-19,6.39684,6.56563,6.37469,6.47756,5579.150610391
2007-10-22,6.24984,6.41881,6.09567,6.41881,22578.973932875
2007-10-23,6.31585,6.38949,6.31585,6.32329,5943.2343978933
2007-10-24,6.21316,6.24249,6.21316,6.23522,3394.6478853778
2007-10-25,6.17647,6.27934,6.17647,6.22787,11253.078587687
2007-10-26,6.22059,6.30123,6.09567,6.16912,2725.4272093023
2007-10-29,6.07378,6.20581,6.07378,6.11037,6530.3917440873
2007-10-30,6.14696,6.16912,6.08105,6.16912,5104.1079543167
2007-10-31,6.16912,6.24249,6.16912,6.24249,7374.1414738543
2007-11-02,6.22787,6.5216,6.22787,6.38949,7433.0883727832
2007-11-05,6.52903,6.52903,6.24249,6.35263,6347.7719395624
2007-11-06,6.35263,6.49218,6.2867,6.2867,3377.3105621634
2007-11-07,6.16912,6.35998,5.91934,6.16176,9489.29490601
2007-11-08,5.36121,5.9414,5.36121,5.73583,6555.819818135
2007-11-09,5.69915,5.8753,5.50812,5.53744,7713.9530088564
2007-11-12,5.53744,5.80185,5.50812,5.52282,4269.6047969306
2007-11-13,5.36121,5.72848,5.36121,5.50085,4488.055069432
2007-11-14,5.82391,5.82391,5.51547,5.52282,2716.1806369213
2007-11-15,5.52282,5.52282,4.81052,4.81052,6725.725585636
2007-11-16,5.39799,5.39799,4.84712,5.17761,10513.352797206
2007-11-19,5.464,5.464,4.94255,5.26578,1615.8385235812
2007-11-20,5.14093,5.25107,5.06747,5.12623,13756.588059845
2007-11-21,4.92065,5.06013,4.77375,4.77375,9564.4233066056
2007-11-22,4.81052,5.1335,4.48002,5.1335,16228.890350217
2007-11-23,5.14093,5.1629,5.06747,5.14093,20630.258803578
