Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-08-09,5.26573,7.52375,5.26573,7.52375,30696.330047318
2011-08-10,8.94043,8.94043,7.40492,7.43238,10810.072218266
2011-08-11,8.22766,8.22766,8.22766,8.22766,3257.1334894545
2011-08-12,8.86767,8.86767,8.13629,8.77621,6288.0627416674
2011-08-16,8.86767,10.0565,8.86767,10.0565,25268.465987638
2011-08-18,9.96398,10.0565,9.96398,9.96398,348.64506290433
2011-09-02,9.86479,10.6964,9.86479,10.6964,1380.0533739963
2011-09-05,10.6964,10.6964,10.6964,10.6964,886.13953488184
2011-09-06,10.6964,10.6964,10.6964,10.6964,1202.6179401968
2011-09-07,10.3303,11.8847,10.3303,11.8847,17501.774630974
2011-09-08,11.427,11.427,11.1522,11.1522,832.18256086093
2011-09-09,11.2448,11.7017,10.0103,10.0103,4663.1277163454
2011-09-12,10.6492,10.6492,9.3241,10.6492,9059.5834649337
2011-09-13,10.0748,10.5692,10.0748,10.5692,218.94079843099
2011-09-15,10.0748,10.9239,10.0748,10.9239,1894.7198954265
2011-09-19,10.55,10.5596,10.55,10.5596,3282.0367082333
2011-09-20,10.5123,10.5596,10.5123,10.5596,435.80632863041
2011-09-21,10.4218,10.5596,9.59876,9.89078,265580.37666737
2011-09-22,9.78191,9.78191,9.78191,9.78191,29535.217471753
2011-09-23,10.1481,10.2387,10.1481,10.2387,9846.1101247
2011-09-26,10.2387,11.427,10.0565,11.427,11243.803278665
2011-09-27,11.427,11.4636,11.1522,11.1522,1916.510211858
2011-09-28,10.6049,10.9702,10.2387,10.9702,1336.4727411333
2011-09-29,10.1481,10.9702,9.69031,10.9702,59892.241163208
2011-09-30,10.9702,10.9702,10.9702,10.9702,3.1129023473601
2011-10-03,10.9702,10.9702,10.9702,10.9702,3.1129023473601
2011-10-04,10.3582,10.9702,10.0565,10.9702,1229.5964272072
2011-10-05,10.9432,10.9702,10.9432,10.9702,453.44610859879
2011-10-06,11.1522,11.1522,10.9702,10.9702,1207.8061107757
2011-10-07,11.1522,11.1522,11.1522,11.1522,5.1881705789335
2011-10-10,11.0626,12.3415,11.0338,12.3415,1889.5317248476
2011-10-11,12.25,12.25,11.8847,12.25,5487.0092042801
2011-10-12,12.3415,12.3415,11.8847,11.8847,977.45133707107
2011-10-13,11.8847,11.8847,11.8847,11.8847,1793.0317520794
2011-10-14,12.0669,12.0669,11.9763,12.0216,1646.7253417535
2011-10-17,11.9763,11.9763,11.9763,11.9763,213.75262785206
2011-10-18,11.9763,11.9763,11.9763,11.9763,5.1881705789335
2011-10-19,11.9763,11.9763,11.9763,11.9763,5.1881705789335
2011-10-20,11.9763,11.9763,11.9763,11.9763,5.1881705789335
2011-10-21,11.9763,11.9763,11.8847,11.9763,2740.3916997927
2011-10-24,11.8847,11.9676,11.8847,11.9676,1305.3437176597
2011-10-25,11.8847,11.8847,11.8847,11.8847,224.12896900993
2011-10-26,11.8847,11.8847,11.8847,11.8847,5.1881705789335
2011-10-27,11.8847,11.8847,11.8847,11.8847,115.17738685232
2011-10-28,11.8847,11.8847,11.8847,11.8847,1646.7253417535
2011-10-31,11.8847,11.8847,11.8847,11.8847,546.83317901959
2011-11-03,11.8847,12.7068,11.8847,12.7068,3560.1226512642
2011-11-04,12.7068,12.7068,12.7068,12.7068,20.752682315734
2011-11-07,12.7068,12.7068,12.1594,12.25,3904.6171777054
2011-11-08,12.25,12.3415,12.25,12.3415,4953.6652687657
2011-11-09,12.3415,12.4331,12.3415,12.4331,718.0428081244
2011-11-10,12.4331,12.5246,12.4331,12.5246,3276.8485376544
2011-11-14,12.5246,12.5246,12.3415,12.5246,5428.901693796
2011-11-15,12.5246,12.5246,12.4967,12.5246,5693.4983933216
2011-11-16,12.5246,12.5246,12.5151,12.5151,4814.6222972503
2011-11-17,12.4871,12.4967,12.4871,12.4967,5032.5254615655
2011-11-18,12.4967,12.4967,12.4967,12.4967,4649.6384728402
2011-11-21,12.7068,12.7068,12.6624,12.6624,1919.6231142054
2011-11-22,12.7068,13.0277,12.6981,13.0181,2466.456293225
2011-11-23,13.073,13.073,12.9544,13.073,3996.9666140104
2011-11-24,13.0634,13.073,13.0634,13.073,6871.2131147395
2011-11-25,13.073,13.073,13.073,13.073,1043.8599204814
2011-11-28,13.0537,13.0537,13.0537,13.0537,5.1881705789335
2011-11-29,13.0537,13.0537,13.0537,13.0537,5.1881705789335
2011-11-30,13.073,13.073,13.073,13.073,151.49458090486
2011-12-01,13.073,13.073,12.5246,12.5246,281.1988453782
2011-12-02,12.5246,12.5246,12.5246,12.5246,1941.4134306369
2011-12-05,12.4871,12.4967,12.4871,12.4871,1973.5800882263
2011-12-06,12.4697,12.4697,12.4697,12.4697,941.13414301854
2011-12-07,12.4697,12.4697,12.4697,12.4697,549.94608136695
2011-12-09,12.4331,12.4331,12.4331,12.4331,5.1881705789335
2011-12-12,12.3415,12.4697,12.3415,12.4697,1050.0857251761
2011-12-13,12.5246,12.5246,12.5246,12.5246,1324.0211317438
2011-12-14,12.5246,12.7617,12.4697,12.7617,6627.3690975297
2011-12-15,12.7984,12.7984,12.7984,12.7984,10.376341157867
2011-12-16,12.7984,12.7984,12.7984,12.7984,76.784924568216
2011-12-19,12.7068,13.4113,12.7068,13.4113,665.12346821927
2011-12-20,13.0277,13.1009,12.7984,13.1009,448.25793801985
2011-12-21,13.6763,13.6763,13.0277,13.0277,213.75262785206
2011-12-23,12.9901,12.9901,12.9901,12.9901,26.978487010454
2012-01-03,12.9901,12.9998,12.9814,12.9814,883.02663253448
2012-01-04,12.9901,12.9901,12.7984,12.7984,1222.3329883967
2012-01-05,12.7984,12.7984,12.7984,12.7984,501.17727792498
2012-01-10,12.7984,12.7984,12.7984,12.7984,218.94079843099
2012-01-11,12.7984,12.7984,12.7984,12.7984,437.88159686199
2012-01-12,12.7984,12.7984,12.7984,12.7984,541.64500844066
2012-01-13,12.7984,13.0181,12.7984,13.0181,297.80099123078
2012-01-16,13.7129,14.1698,13.7129,14.1698,359.0214040622
2012-01-18,13.9143,14.1967,13.7129,13.7129,412.97837808311
2012-01-19,14.2612,14.2612,14.2612,14.2612,10.376341157867
2012-01-20,14.0782,14.0782,13.7129,13.7129,7723.1107238004
2012-01-23,13.8951,13.8951,13.6204,13.6204,533.34393551436
2012-01-24,13.6204,13.6204,13.6204,13.6204,623.61810358781
2012-01-25,13.6204,13.6204,13.6204,13.6204,108.9515821576
2012-01-26,13.2551,13.6204,13.2551,13.6127,1212.9942813547
2012-01-27,13.6127,13.6127,13.6127,13.6127,5.1881705789335
2012-01-30,13.6127,13.6127,13.6127,13.6127,6.2258046947202
2012-01-31,13.6127,13.6127,13.6127,13.6127,5.1881705789335
2012-02-01,13.5934,13.5934,13.5934,13.5934,76.784924568216
2012-02-02,13.5934,13.5934,13.5934,13.5934,5.1881705789335
2012-02-03,13.5299,13.5299,13.5299,13.5299,3.1129023473601
2012-02-06,13.5761,13.603,12.9814,13.5212,2887.7357442344
2012-02-07,13.4383,13.4383,13.4296,13.4296,138.00533739963
2012-02-08,13.5299,13.5299,13.1558,13.1558,2323.2627852464
2012-02-09,13.073,13.073,12.8543,12.8543,1436.0856162488
2012-02-10,13.1558,13.1558,13.1558,13.1558,3.1129023473601
2012-02-13,12.9179,12.9179,12.9179,12.9179,5.1881705789335
2012-02-14,12.9179,12.9179,12.9179,12.9179,5.1881705789335
2012-02-15,12.9179,13.1558,12.8909,13.1558,5967.4337998893
2012-02-16,13.1558,13.7129,13.1558,13.2551,17793.34981751
2012-02-17,13.7129,13.7129,13.2551,13.2551,7824.7988671475
2012-02-20,13.7129,13.7129,13.7129,13.7129,14.526877621014
2012-02-21,13.7129,13.7129,13.073,13.073,290.53755242028
2012-02-22,13.3747,13.3747,13.0634,13.073,102.72577746288
2012-02-23,13.0277,13.3834,13.0277,13.3834,509.47835085127
2012-02-24,13.7129,13.7129,12.6249,13.1645,1670.5909264166
2012-02-27,13.073,13.2002,13.073,13.2002,305.06443004129
2012-02-28,13.7129,13.7129,13.073,13.2099,1664.3651217219
2012-02-29,13.2099,13.2099,12.7984,13.1645,2530.7896084038
2012-03-01,13.2099,13.2099,13.1645,13.1645,78.860192799789
2012-03-02,13.1645,13.1645,12.7984,13.1645,442.03213332513
2012-03-06,13.2099,13.2099,12.7984,12.7984,704.55356461917
2012-03-07,12.7984,12.7984,12.7984,12.7984,134.89243505227
2012-03-08,12.7984,12.7984,12.7984,12.7984,10.376341157867
2012-03-09,12.7984,12.7984,12.7984,12.7984,52.919339905122
2012-03-12,12.7984,12.7984,12.6249,12.7984,79.897826915576
2012-03-13,12.7984,12.7984,11.8847,12.3415,39166.537334485
2012-03-14,12.0669,12.3415,11.427,11.8847,53511.828985236
2012-03-15,11.8472,11.8847,11.8472,11.8847,16265.952399072
2012-03-16,11.8847,11.8847,11.4732,11.8847,22624.574260613
2012-03-19,13.6667,13.6667,12.9901,13.2456,2363.7305157621
2012-03-20,13.2456,13.2456,13.2456,13.2456,1963.2037470684
2012-03-21,12.9718,12.9718,12.8985,12.8985,473.16115679874
2012-03-22,12.9265,12.9265,12.8985,12.8985,1205.7308425441
2012-03-23,13.2378,13.2378,13.2291,13.2291,108.9515821576
2012-03-26,13.7129,13.7129,13.4383,13.4383,152.53221502064
2012-03-27,13.4383,13.4845,13.2551,13.4383,1497.3060290802
2012-03-28,13.4383,13.4383,13.0537,13.4383,527.11813081964
2012-03-29,13.7129,13.7129,13.073,13.4749,633.99444474567
2012-03-30,13.6397,13.6397,13.6397,13.6397,2.0752682315734
2012-04-02,13.6204,13.6204,13.1645,13.6204,344.49452644118
2012-04-03,13.6204,13.6204,13.6204,13.6204,437.88159686199
2012-04-04,13.5664,13.5664,13.0364,13.4749,252.14509013617
2012-04-05,13.5212,13.5212,13.5212,13.5212,2.0752682315734
2012-04-10,13.5568,13.9876,13.5568,13.7129,1179.7899896495
2012-04-11,14.0329,14.2612,13.7129,13.8045,23318.751484075
2012-04-12,13.6204,13.6204,13.5299,13.5299,2512.1121943196
2012-04-13,13.5394,15.358,13.5394,13.8951,25655.503512826
2012-04-16,14.1698,15.5411,13.9876,14.7634,27018.95474097
2012-04-17,15.1026,15.1026,14.2699,14.6824,6312.9659604463
2012-04-18,14.535,14.535,14.1698,14.2699,2607.574532972
2012-04-19,14.4444,14.5167,14.1698,14.3345,3268.5474647281
2012-04-20,14.4906,14.4906,13.7129,13.7129,1889.5317248476
2012-04-23,13.7226,13.7226,12.0669,13.6667,5102.0469473232
2012-04-24,13.6204,13.6204,12.8176,13.5115,1527.397418438
2012-04-25,13.5761,13.6204,13.5299,13.5394,2240.2520559835
2012-04-26,13.8045,13.9876,13.6204,13.7129,6200.9014759413
2012-04-27,13.5761,13.8045,13.2551,13.8045,962.92445945006
2012-04-30,13.8045,14.0782,13.3023,14.0782,461.74718152508
2012-05-02,14.1698,14.1698,13.7129,13.8951,336.19345351489
2012-05-04,14.243,14.243,13.6204,14.0329,471.08588856716
2012-05-07,14.0329,14.0329,13.7129,14.0329,497.02674146183
2012-05-08,14.0695,14.0695,13.3564,13.9972,297.80099123078
2012-05-09,14.0049,14.0049,13.7129,13.7129,1021.0319699341
2012-05-10,13.7129,13.9876,13.5761,13.9876,1414.2952998173
2012-05-11,14.0695,14.0695,13.4845,14.0695,875.76319372397
2012-05-14,14.0695,14.0695,13.2551,14.0695,1187.05342846
2012-05-15,13.7129,13.7129,13.7129,13.7129,440.99449920935
2012-05-16,13.6204,14.1601,12.8079,14.1601,2403.160612162
2012-05-17,13.7033,13.7129,13.2744,13.7033,2029.6123304788
2012-05-18,13.073,13.6936,12.8909,13.6936,1097.8168945023
2012-05-21,13.6204,13.6204,12.8909,13.338,427.50525570412
2012-05-22,13.2551,13.6127,13.1645,13.4932,315.44077119916
2012-05-23,13.2551,13.2551,12.8909,13.2099,603.90305538786
2012-05-24,13.2551,13.2551,12.3415,13.1645,626.73100593517
2012-05-25,12.6152,12.9352,12.25,12.9352,723.23097870333
2012-05-28,12.9352,12.9352,12.3415,12.7984,102.72577746288
2012-05-29,13.2099,13.2099,12.7984,13.1645,1515.9834431644
2012-05-30,13.2099,13.2456,12.7984,13.2456,660.97293175613
2012-05-31,13.1645,13.1645,12.7984,12.7984,60.182778715629
2012-06-01,12.8716,12.8716,12.3415,12.752,318.55367354652
2012-06-04,12.4774,12.4774,11.8847,11.8847,1011.693262892
2012-06-05,10.9702,11.427,10.9702,11.427,3635.8699417166
2012-06-06,11.8847,11.8847,11.8847,11.8847,5.1881705789335
2012-06-08,11.7922,12.3415,11.7922,12.3415,102.72577746288
2012-06-11,12.3415,12.3415,12.3415,12.3415,2.0752682315734
2012-06-12,12.278,12.278,11.7922,12.278,117.2526550839
2012-06-13,12.2683,12.2683,12.1401,12.1401,69.521485757709
2012-06-14,12.1131,12.3415,11.7922,12.3415,651.63422471405
2012-06-15,12.3415,12.3415,11.4462,11.4462,373.54828168321
2012-06-18,11.984,12.2866,11.7922,12.2866,542.68264255644
2012-06-19,11.7922,12.25,11.4549,12.25,876.80082783976
2012-06-20,12.3415,12.3415,11.5195,11.8847,1010.6556287762
2012-06-21,11.8847,11.8847,11.8847,11.8847,2.0752682315734
2012-06-22,11.8847,11.8847,11.8847,11.8847,2.0752682315734
2012-06-26,12.3319,12.3319,11.8847,11.8847,297.80099123078
2012-06-27,11.8847,11.8847,11.8847,11.8847,57.069876368269
2012-06-28,12.3319,12.3319,11.5195,11.9937,297.80099123078
2012-06-29,12.3319,12.3319,11.5272,11.8847,365.24720875692
2012-07-02,11.9763,11.9763,11.9763,11.9763,2.0752682315734
2012-07-03,11.9763,11.9763,11.9763,11.9763,2.0752682315734
2012-07-04,11.6101,11.8655,11.6101,11.8655,76.784924568216
2012-07-05,11.9763,11.9763,11.8847,11.9763,219.97843254678
2012-07-06,11.9763,11.9763,11.8751,11.9763,1439.1985185962
2012-07-09,11.9763,11.9763,11.9763,11.9763,2.0752682315734
2012-07-10,11.9301,11.9301,11.7479,11.8751,4909.0470017869
2012-07-11,11.9763,11.9763,11.9763,11.9763,2.0752682315734
2012-07-12,11.8751,11.8751,11.5195,11.5195,108.9515821576
2012-07-13,11.8568,11.8847,11.8472,11.8751,1117.5319427023
2012-07-16,11.8751,11.8751,11.8751,11.8751,2.0752682315734
2012-07-17,11.8751,11.8751,11.8751,11.8751,2.0752682315734
2012-07-18,11.8751,11.8751,11.8751,11.8751,2.0752682315734
2012-07-19,11.8751,11.8751,11.8751,11.8751,2.0752682315734
2012-07-23,11.3084,11.693,11.3084,11.693,2574.3702412668
2012-07-24,11.6101,11.6101,11.107,11.107,108.9515821576
2012-07-25,11.6553,11.8847,11.4366,11.8847,1011.693262892
2012-07-26,11.8847,11.8847,11.8847,11.8847,737.75785632434
2012-07-27,11.8847,11.8847,11.8847,11.8847,208.56445727313
2012-07-30,11.8847,11.8847,11.8847,11.8847,123.47845977862
2012-07-31,11.8751,11.8751,11.8751,11.8751,46.693535210402
2012-08-01,11.8655,11.8655,10.9702,11.8655,1010.6556287762
2012-08-02,11.0164,11.7662,11.0164,11.7662,240.73111486251
2012-08-03,11.7836,11.7836,11.7836,11.7836,2.0752682315734
2012-08-06,11.7566,11.7566,11.7566,11.7566,2.0752682315734
2012-08-07,11.7017,11.7017,11.7017,11.7017,13.489243505227
2012-08-08,11.7017,11.7017,11.7017,11.7017,3.1129023473601
2012-08-09,11.427,11.693,11.427,11.693,121.40319154704
2012-08-10,11.7017,11.7017,11.7017,11.7017,2.0752682315734
2012-08-14,11.5638,11.5638,11.427,11.427,664.08583410349
2012-08-16,11.427,11.427,10.9702,11.4,4039.5096127576
2012-08-20,11.3817,11.6553,10.9702,11.6553,341.38162409382
2012-08-21,11.6466,11.6466,10.9702,11.6284,196.11284788369
2012-08-22,11.7479,11.7479,11.7479,11.7479,239.69348074673
2012-08-23,10.9798,11.7017,10.9798,11.7017,569.6611295669
2012-08-24,11.6553,11.6553,11.6553,11.6553,54.994608136695
2012-08-27,11.6553,11.6553,10.9702,11.6466,1506.6447361223
2012-08-28,11.6004,11.6004,11.6004,11.6004,3.1129023473601
2012-08-29,11.5638,11.5638,10.9798,11.427,294.68808888342
2012-08-30,10.8786,11.3913,10.8786,11.3913,190.92467730475
2012-08-31,10.9798,11.3451,10.9702,11.3451,426.46762158833
2012-09-03,10.9702,11.3633,10.9432,11.3633,450.33320625143
2012-09-04,11.3633,11.3633,10.9432,11.3633,388.07515930423
2012-09-05,10.9702,10.9798,10.9518,10.9518,1224.4082566283
2012-09-06,11.3084,11.3084,9.14195,10.0286,5042.9018027234
2012-09-07,9.61803,10.0189,9.61803,10.0189,504.29018027234
2012-09-10,10.0006,10.0006,9.99291,9.99291,78.860192799789
2012-09-12,9.93798,9.93798,9.93798,9.93798,108.9515821576
2012-09-13,9.91003,9.91971,9.91003,9.91971,54.994608136695
