Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-04-11,13.1901,13.1901,12.4086,12.6509,200027.61049626
2014-04-14,12.5753,12.5753,12.2063,12.3075,54170.027495093
2014-04-15,12.3075,12.4231,12.2391,12.3002,4841.6088294392
2014-04-16,12.3002,12.3967,12.2391,12.2391,4763.6600251557
2014-04-17,12.1699,12.4441,12.1699,12.3075,5195.1231249221
2014-04-22,12.5052,12.7129,12.343,12.6827,3160.7691201713
2014-04-23,12.6509,12.7201,12.5825,12.6827,10263.991144315
2014-04-24,12.6827,12.6827,12.6772,12.6772,1330.6190252336
2014-04-25,12.5679,12.6509,12.3075,12.6509,12916.446230919
2014-04-28,12.6827,12.6827,12.3148,12.6436,1195.5809558411
2014-04-29,12.6436,12.6436,12.3075,12.6436,2136.4559596573
2014-04-30,12.6827,12.6827,12.3075,12.5753,4574.8263021028
2014-05-02,12.6363,12.6363,12.3075,12.3075,5247.8209080997
2014-05-05,12.5825,12.6218,12.3767,12.3767,1010.0408442368
2014-05-06,12.3767,12.5142,12.3075,12.3767,1781.8437936916
2014-05-07,12.3075,12.3148,12.1573,12.2674,9802.8855415109
2014-05-08,12.2674,12.2738,12.2438,12.2438,2248.4387489096
2014-05-09,12.252,12.252,12.1017,12.1017,1053.9556635514
2014-05-12,12.1017,12.1645,11.4323,11.7602,84915.890367757
2014-05-13,11.892,11.892,11.6234,11.7483,3697.6277862928
2014-05-14,11.6371,11.6371,11.556,11.6371,20364.399586682
2014-05-15,11.6234,11.9649,11.6234,11.9649,443.53967507788
2014-05-16,11.9587,11.9649,11.6234,11.9587,3353.9943251557
2014-05-19,11.9303,11.9303,11.9303,11.9303,10.97870482866
2014-05-20,11.6981,11.7273,11.4057,11.7044,2213.3068934579
2014-05-21,11.6981,11.7126,11.3857,11.6581,1136.2959497663
2014-05-22,11.719,12.2674,11.6234,12.2674,4661.5580702492
2014-05-23,12.2063,12.3002,12.2063,12.3002,1478.8315404206
2014-05-26,12.3002,12.343,12.3002,12.343,5.4893524143302
2014-05-27,12.3075,12.3075,12.1372,12.2928,977.10472975077
2014-05-28,12.3002,12.3002,12.3002,12.3002,10.97870482866
2014-05-29,12.1699,12.1699,12.0342,12.1017,633.4712686137
2014-05-30,12.0342,12.6436,11.8293,12.6436,7383.1789972741
2014-06-02,12.6145,12.6145,12.1699,12.2674,1687.4269321651
2014-06-03,12.3075,12.3075,11.6526,12.2063,363.39512982866
2014-06-04,11.7602,12.2063,11.7602,12.1699,1038.5854767913
2014-06-05,11.8984,12.0662,11.8984,12.0662,566.50116915888
2014-06-06,12.1699,12.4787,12.047,12.047,17074.081749533
2014-06-09,12.2674,12.5469,11.9649,12.5469,5905.4453273364
2014-06-10,12.6291,12.6363,12.5142,12.5142,4126.8951450934
2014-06-11,12.5142,12.5142,12.3075,12.4651,1627.0440556075
2014-06-12,12.4651,12.4651,12.4441,12.4595,460.00773232087
2014-06-13,12.3075,12.4505,12.3075,12.4505,1089.0875190031
2014-06-16,12.4441,12.4441,12.0342,12.4031,1409.6657
2014-06-17,12.4505,12.4505,12.1836,12.4441,2414.2171918224
2014-06-18,12.4369,12.4787,12.4369,12.4441,653.23293730529
2014-06-20,12.4787,12.4787,12.4441,12.4787,511.60764501557
2014-06-23,12.4441,12.4441,12.4441,12.4441,49.404171728972
2014-06-24,12.4978,12.4978,12.2391,12.4724,814.6198982866
2014-06-25,12.4952,12.4952,12.4441,12.4441,644.44997344236
2014-06-26,12.0079,12.4369,12.0079,12.4369,3660.3001898754
2014-06-27,12.4441,12.4441,12.3767,12.3767,16.468057242991
2014-06-30,12.4304,12.4304,12.1763,12.3075,638.96062102803
2014-07-01,12.3075,12.3075,12.0342,12.0342,238.23789478193
2014-07-02,12.2063,12.2391,11.8629,12.2391,5322.4761009346
2014-07-03,12.2391,12.2391,12.2391,12.2391,10.97870482866
2014-07-04,12.2391,12.2391,12.2391,12.2391,10.97870482866
2014-07-07,12.2391,12.2391,12.2337,12.2337,2208.9154115265
2014-07-08,12.2391,12.2391,12.1699,12.22,2976.3268790498
2014-07-09,12.22,12.22,11.8984,12.2118,1509.5719139408
2014-07-10,12.2118,12.2118,11.8629,12.1899,3680.061858567
2014-07-11,12.1899,12.1899,11.8984,12.1017,1995.9285378505
2014-07-14,11.8356,12.1499,11.8356,12.1499,1945.4264956386
2014-07-15,12.1499,12.1499,11.8785,12.0662,941.97287429906
2014-07-16,12.1499,12.1499,11.7336,11.9231,1508.4740434579
2014-07-17,11.9932,11.9932,11.6234,11.9649,2552.5488726635
2014-07-18,11.9587,12.1499,11.6898,12.1499,1622.652573676
2014-07-21,11.9649,11.9649,11.6234,11.8629,2679.901848676
2014-07-22,11.892,11.9795,11.8293,11.8293,95.514732009345
2014-07-23,11.7602,11.8293,11.7602,11.8293,327.16540389408
2014-07-24,11.8293,11.8293,11.7874,11.7874,2651.3572161215
2014-07-25,11.9522,11.9522,11.679,11.7408,13476.360177181
2014-07-28,12.0223,12.0223,11.9303,11.9303,4392.579801947
2014-07-29,11.5259,11.842,11.5259,11.701,12067.792347663
2014-07-30,11.73,11.73,11.597,11.6672,361.19938886293
2014-07-31,11.6536,11.6536,11.5123,11.6536,3422.0622950934
2014-08-01,11.701,11.701,11.178,11.6862,6381.9211169003
2014-08-04,11.597,11.8037,11.597,11.7646,5797.8540200155
2014-08-05,11.8766,11.8766,11.3165,11.3165,1112.1427991433
2014-08-06,11.3511,11.3511,11.178,11.178,7379.8853858255
2014-08-07,11.1698,11.1698,10.4784,10.9403,24289.286562928
2014-08-08,10.9403,10.9403,10.0603,10.6187,13457.696378972
2014-08-11,10.7507,10.7507,10.6115,10.6187,2878.6164060748
2014-08-12,10.7855,10.7855,10.4784,10.6115,120.76575311526
2014-08-13,10.779,10.779,10.6187,10.6187,152.60399711838
2014-08-14,10.7855,10.7855,10.3055,10.6187,496.23745825545
2014-08-18,10.7855,10.7855,10.3746,10.6898,701.5392385514
2014-08-19,10.6826,10.6826,10.4784,10.6187,1035.2918653427
2014-08-20,10.6187,10.6187,10.339,10.6187,1532.627194081
2014-08-21,10.6187,10.6187,10.4784,10.4784,191.02946401869
2014-08-22,10.515,10.6187,10.515,10.6187,801.44545249221
2014-08-25,10.4857,11.178,10.4857,10.8273,979.30047071651
2014-08-26,10.8273,10.8273,10.515,10.6115,77.948804283489
2014-08-27,10.6115,10.6115,10.5486,10.6115,870.61129291277
2014-08-28,10.6115,10.6115,10.4784,10.4784,14877.242913318
2014-08-29,10.4784,10.4784,10.1705,10.339,19161.133537461
2014-09-01,10.4784,10.4784,9.91928,10.472,17295.851587072
2014-09-02,10.4784,10.4784,10.1313,10.472,5103.9998748442
2014-09-03,10.1998,11.178,10.1998,11.178,3080.6245749221
2014-09-04,11.178,11.2481,10.9056,11.2408,4143.3632023364
2014-09-05,11.2481,11.2481,10.758,10.758,1141.7853021807
2014-09-08,10.8273,10.8273,10.4784,10.821,1666.5673929906
2014-09-09,10.821,10.821,10.4092,10.4784,202527.46158575
2014-09-10,10.5833,10.5833,10.4784,10.5323,202688.84854673
2014-09-11,11.1634,11.1634,10.6898,10.7235,2611.8338787383
2014-09-12,10.7927,11.1006,10.7927,11.1006,58798.649450856
2014-09-15,11.1698,11.5606,11.1079,11.3238,30083.846971495
2014-09-16,11.3165,11.6043,11.3165,11.597,50447.148687694
2014-09-17,11.6099,12.2191,11.6099,11.8912,37008.116106931
2014-09-18,12.078,12.2255,11.8912,12.2255,38350.811707476
2014-09-19,12.4968,12.4968,12.4643,12.4643,651.03719633956
2014-09-22,12.5587,12.5587,12.2938,12.4268,977.10472975077
2014-09-23,12.4341,12.6719,12.4268,12.5753,4816.3578083333
