Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-05-06,7.09601,7.40888,7.07677,7.40297,2341601.1965672
2016-05-09,7.40297,7.41479,7.26718,7.37191,503930.26895242
2016-05-10,7.35347,7.37191,7.26127,7.33512,51405.126236659
2016-05-11,7.29744,7.40297,7.1875,7.40297,281517.75522365
2016-05-12,7.40297,7.54979,7.37191,7.4642,518543.94074216
2016-05-13,7.50108,7.61772,7.43905,7.61772,231405.80406936
2016-05-16,7.61772,8.10909,7.5557,7.98548,215607.76070988
2016-05-17,8.0723,8.0723,7.95601,7.98548,660148.31231669
2016-05-18,8.05342,8.41649,8.05342,8.34255,200914.75302551
2016-05-19,8.17138,8.53914,8.10909,8.53914,87413.422066646
2016-05-20,8.53914,8.78442,8.38561,8.78442,89868.301320298
2016-05-23,8.75354,8.75354,8.35482,8.6009,60135.474755069
2016-05-24,8.50825,8.8956,7.8946,8.72354,157797.96103721
2016-05-25,8.72354,9.21588,8.50825,9.21588,52222.285951286
2016-05-27,9.21588,9.21588,8.90795,9.15323,7766.9840836896
2016-05-30,9.03059,9.46117,8.91412,9.14794,107939.88474572
2016-05-31,9.20176,9.20176,8.85766,9.02441,69520.911089088
2016-06-01,9.02441,9.03059,8.53914,8.84707,29570.754666211
2016-06-02,8.81619,8.81619,8.55149,8.55149,9362.7689355552
2016-06-03,8.47737,8.6009,8.18938,8.6009,13864.514270506
2016-06-06,8.81619,8.81619,8.38561,8.6009,3991.7288695104
2016-06-07,8.48973,8.6009,8.37282,8.6009,85108.147642858
2016-06-08,8.6009,8.6009,8.38561,8.38561,2474.1465423456
2016-06-09,8.30567,8.42885,8.30567,8.41649,7968.7239300192
2016-06-10,8.35482,8.47737,8.28194,8.47737,23745.233260963
2016-06-13,8.47737,8.47737,8.29261,8.41649,18129.385291507
2016-06-14,8.29261,8.41649,8.20738,8.41649,27512.55488568
2016-06-15,8.27453,8.34908,8.27453,8.34908,92448.984635424
2016-06-16,8.232,8.29261,8.20738,8.28767,36119.366082461
2016-06-17,8.20738,8.41649,8.20738,8.41649,35339.607575299
2016-06-20,8.29994,8.44649,8.29261,8.44649,27838.965423562
2016-06-21,8.47737,8.53914,8.29994,8.50825,33999.964326077
2016-06-22,8.50825,8.71648,8.50825,8.6009,41416.737103498
2016-06-23,8.6009,8.72354,8.48443,8.72354,13432.700329766
2016-06-24,8.29261,8.90795,8.18938,8.84001,179564.33041227
2016-06-27,8.84001,9.21588,8.6009,9.21588,113006.04830243
2016-06-28,8.97589,9.50263,8.97589,9.14794,54086.67947495
2016-06-29,9.14794,9.14794,9.06147,9.10382,52360.557081917
2016-06-30,9.20176,9.27676,8.91412,9.27676,149918.77333113
2016-07-01,9.15941,9.18412,9.12853,9.17794,1603.718441328
2016-07-04,9.14794,9.21588,8.91412,9.21588,13150.49121889
2016-07-05,9.08,9.09147,9.01736,9.02441,51401.72612689
2016-07-06,8.99353,8.99353,8.75354,8.90795,176351.22668
2016-07-07,8.8206,8.95559,8.8206,8.95118,2123.9352360768
2016-07-08,8.85148,9.03059,8.85148,9.03059,1157.1706915872
2016-07-11,9.20176,9.20176,8.91412,9.11618,4081.2650934432
2016-07-12,9.03059,9.11618,8.90795,9.11618,35445.010978157
2016-07-13,9.03059,9.19735,8.60531,9.02441,58513.62239497
2016-07-14,9.06147,9.06147,8.93795,9.04383,31261.742591626
2016-07-15,9.11618,9.11618,8.79677,9.02441,17629.569155376
2016-07-18,9.01736,9.01736,8.85148,9.01736,101469.47585417
2016-07-19,9.01206,9.01736,8.64943,8.71648,483879.82164108
2016-07-20,8.77825,8.77825,8.66178,8.66178,14280.46103232
2016-07-21,8.66178,8.8956,8.63178,8.8956,60189.876511382
2016-07-22,8.90795,8.90795,8.69266,8.8206,3646.0510429344
2016-07-25,8.8206,8.8206,8.66796,8.7606,3122.434138416
2016-07-26,8.77207,8.93795,8.61237,8.93795,25496.289792307
2016-07-27,8.92648,8.92648,8.50825,8.6009,239663.5373298
2016-07-28,8.59472,8.71648,8.39091,8.71648,205910.64764698
2016-07-29,8.66178,8.66178,8.52149,8.59472,29091.339188698
2016-08-01,8.84001,8.84001,8.39796,8.58149,9654.0450058176
2016-08-02,8.58149,8.58149,8.38561,8.53296,9331.0345777056
2016-08-03,8.50825,8.50825,8.33029,8.4412,123115.70801737
2016-08-04,8.57002,8.57002,8.36629,8.46502,110086.48738026
2016-08-05,8.47031,8.47031,8.23853,8.32367,8428.8721188384
2016-08-08,8.65649,8.65649,8.11483,8.21973,13280.828760058
2016-08-09,8.13944,8.58149,8.13944,8.29261,92179.242593702
2016-08-10,8.33029,8.33029,8.16485,8.29261,10345.40065897
2016-08-11,8.29261,8.41032,8.15744,8.25079,17265.757410029
2016-08-12,8.41032,8.41032,8.15744,8.23853,7712.582327376
2016-08-16,8.16485,8.29261,8.11483,8.19432,19518.89681735
2016-08-17,7.40297,7.40297,6.70231,6.95422,768573.27938954
2016-08-18,7.06424,7.06424,6.72711,6.81243,94516.251375341
2016-08-19,6.81243,6.94186,6.68987,6.8809,11189.761251754
2016-08-22,6.97283,7.04068,6.75737,7.01563,37151.866082496
2016-08-23,7.01563,7.01563,6.76363,6.8809,34992.7963788
2016-08-24,6.7759,7.00301,6.7759,7.00301,6408.0735457728
2016-08-25,7.06424,7.20515,6.89881,7.15653,12554.338639286
2016-08-26,7.06424,7.12548,6.97936,7.12036,42900.318332966
2016-08-29,7.11374,7.11374,6.89245,6.97283,15553.235456074
2016-08-30,6.96578,6.99727,6.8809,6.99727,10048.457739091
2016-08-31,6.95422,6.96578,6.82487,6.8809,29185.408892323
2016-09-01,6.80069,6.93551,6.76972,6.87375,49989.547202582
2016-09-02,6.81243,6.87375,6.57288,6.62246,43684.610319821
2016-09-05,6.62246,6.62246,5.83605,5.83605,77359.297477939
2016-09-06,5.80525,5.80525,5.3813,5.65782,206580.46927159
2016-09-07,5.59023,6.01419,5.52882,6.01419,39718.948958544
2016-09-08,6.0081,6.01419,5.83605,5.93434,10617.409440538
2016-09-09,5.83605,6.14336,5.83605,6.14336,15196.223930266
2016-09-12,6.14336,6.20468,6.07551,6.20468,48862.977498922
2016-09-13,6.21051,6.21051,5.99566,6.20468,27097.741493789
2016-09-14,6.266,6.38891,6.1491,6.38891,13013.353458182
2016-09-15,6.32741,6.38891,6.2968,6.2968,6958.891328448
2016-09-16,6.1063,6.25974,6.08786,6.25974,1417.8457739232
2016-09-19,6.38891,6.38891,5.96504,6.266,67802.722285517
2016-09-20,6.266,6.266,6.02645,6.14336,8248.6663010496
2016-09-21,6.35177,6.35177,5.87284,6.13701,5530.845225216
