Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-05-12,14.3069,14.7579,14.2692,14.7579,176256571.77331
2010-05-13,14.6747,14.834,14.5127,14.6352,44114884.619727
2010-05-14,14.5643,14.7579,14.4829,14.553,25786128.305338
2010-05-17,14.1834,14.4698,14.1511,14.3893,22719792.77006
2010-05-18,14.3682,14.5442,14.3603,14.4698,14012817.836755
2010-05-19,14.3568,14.4217,14.1791,14.1791,22560692.42103
2010-05-20,14.102,14.1432,13.5487,13.5689,25306418.412078
2010-05-21,13.5689,13.7939,13.3648,13.7939,13004607.77909
2010-05-24,13.7982,14.1222,13.7939,14.0399,11449445.726826
2010-05-25,13.7369,13.933,13.4454,13.5269,12391226.911447
2010-05-26,13.7046,14.5127,13.7046,14.5127,62048667.830097
2010-05-27,14.2658,14.4462,14.2237,14.3568,5824733.9531913
2010-05-28,14.3638,14.405,14.1834,14.3481,4041553.880463
2010-05-31,14.1834,14.3481,14.0618,14.3481,1822557.6832351
2010-06-01,14.1589,14.3385,13.9585,14.2902,6137617.8286235
2010-06-02,14.2211,14.3893,14.1879,14.3271,5550557.2317927
2010-06-04,14.2902,14.3893,14.0197,14.0197,5427513.0496174
2010-06-07,13.7737,14.0399,13.7737,13.9375,4414976.4346774
2010-06-08,13.9453,14.102,13.8972,13.8972,29711628.112
2010-06-09,13.9252,14.2623,13.856,14.2237,5396086.1162987
2010-06-10,14.1134,14.4015,14.1134,14.3481,7942394.1381386
2010-06-11,14.3236,14.3682,14.2413,14.3069,9668881.233865
2010-06-14,14.3069,14.4908,14.2237,14.4172,4030651.8241836
2010-06-15,14.3481,14.4672,14.2789,14.4488,6525438.6354788
2010-06-16,14.4575,14.4908,14.1922,14.4462,8058828.5560721
2010-06-17,14.3271,14.5118,14.3069,14.4951,7282725.5038348
2010-06-18,14.4549,14.7079,14.4549,14.6554,27161549.771901
2010-06-21,14.6352,14.9548,14.6352,14.9548,8422886.4209795
2010-06-22,14.7779,14.8927,14.6957,14.7579,4326823.4012943
2010-06-23,14.7158,14.8401,14.6834,14.7158,5044463.1059448
2010-06-24,14.7158,14.7989,14.553,14.553,4092486.8711037
2010-06-25,14.5941,14.7324,14.5565,14.5565,5275579.8460199
2010-06-28,14.5775,14.6221,14.3682,14.4295,1699817.3194956
2010-06-29,14.4295,14.4627,14.3069,14.3481,5659600.6380778
2010-06-30,14.3481,14.5118,14.3271,14.3481,2508545.4461764
2010-07-01,14.3481,14.6633,14.2737,14.5941,5571832.5175251
2010-07-02,14.4627,14.7579,14.4627,14.5127,4188792.746574
2010-07-05,14.5206,14.5617,14.4295,14.4339,587876.10947446
2010-07-06,14.4627,14.7,14.4549,14.7,1143750.7718211
2010-07-07,14.5153,14.7158,14.4908,14.6747,5058780.2641912
2010-07-08,14.7579,14.9548,14.5941,14.7132,10303267.834042
2010-07-09,14.721,14.8156,14.6099,14.7989,1035328.7085026
2010-07-12,14.7579,15.249,14.6921,15.249,6205724.5561125
2010-07-13,15.1798,15.4941,15.1798,15.4941,6403992.3555282
2010-07-14,15.4941,15.5685,15.1675,15.1675,2824829.5753063
2010-07-15,15.1675,15.3322,15.1264,15.1675,969710.7794036
2010-07-16,15.0861,15.3926,15.0861,15.0861,1442349.4698949
2010-07-19,15.0695,15.3768,15.0441,15.3199,6416010.3163633
2010-07-20,15.291,15.3199,15.1264,15.172,2610439.9818221
2010-07-21,15.2087,15.4468,15.2087,15.3523,4588315.1319083
2010-07-22,15.3322,15.6596,15.2954,15.6596,6061262.3163834
2010-07-23,15.5782,15.6797,15.4372,15.4548,3401309.0669122
2010-07-26,15.7007,15.9712,15.5441,15.9135,4716145.0255358
2010-07-27,15.9468,16.044,15.4591,15.7463,8657034.4923659
2010-07-28,15.8645,15.8645,15.537,15.5414,2306144.1169886
2010-07-29,15.5782,15.9871,15.5782,15.9871,6700867.5121745
2010-07-30,15.9871,16.1753,15.8846,16.1508,9898738.1553885
2010-08-02,16.1596,16.4055,16.1237,16.2742,5188289.1544379
2010-08-03,16.2742,16.4458,16.254,16.3557,3694721.1502595
2010-08-04,16.3443,16.3443,16.192,16.234,1496391.4597177
2010-08-05,16.192,16.3521,16.1105,16.2952,5961950.2374425
2010-08-06,16.3119,16.3154,16.1508,16.192,1485730.4022728
2010-08-09,16.1306,16.192,15.5904,15.6596,3403719.0552568
2010-08-10,15.741,15.741,15.5581,15.6386,4277521.4359408
2010-08-11,15.6386,15.6797,15.4127,15.4548,2690644.6223662
2010-08-12,15.4468,15.8234,15.4468,15.7007,3198428.0244046
2010-08-13,15.9547,16.1105,15.7944,15.9013,2157769.9293541
2010-08-16,15.9468,16.1105,15.8321,15.9923,1438325.5888816
2010-08-17,15.9871,15.9871,15.6631,15.7822,1513359.6051432
2010-08-18,15.8933,15.8933,15.6474,15.8399,2138169.0715427
2010-08-19,15.8321,15.9871,15.741,15.7796,2819259.1899239
2010-08-20,15.791,16.0159,15.741,15.9792,3128389.8797162
2010-08-23,16.1516,16.557,16.1184,16.4677,2936268.1216666
2010-08-24,16.4179,16.4309,15.9836,16.2654,2255069.4967011
2010-08-25,16.1779,16.3416,15.9327,16.0046,1664303.6855622
2010-08-26,15.805,16.135,15.5441,15.6456,3485376.5418551
2010-08-27,15.5616,15.7568,15.5616,15.7568,2649305.8981212
2010-08-30,15.8575,16.0046,15.8234,15.8234,2673629.6477834
2010-08-31,15.6876,15.9241,15.6044,15.9241,4364110.8323363
2010-09-01,16.0177,16.0256,15.8137,15.8137,2824829.5753063
2010-09-02,15.9363,16.0002,15.7971,15.7971,2039595.9795491
2010-09-03,15.8399,16.1027,15.8137,16.1027,1594059.949451
2010-09-06,16.1263,16.2996,16.1263,16.2996,2294204.9661988
2010-09-07,16.1516,16.2279,16.0299,16.1516,1275299.5858514
2010-09-08,16.1692,16.6831,16.1516,16.6577,6370664.8437235
2010-09-09,16.4896,16.8608,16.452,16.8398,5094276.765506
2010-09-10,16.663,16.8652,16.6323,16.6997,3836692.3072494
2010-09-13,16.8608,16.8687,16.6831,16.7461,4632989.0059004
2010-09-14,16.7435,16.9125,16.62,16.895,4814306.9346837
2010-09-15,16.874,16.9527,16.7347,16.9527,2930857.6407241
2010-09-16,16.81,16.9449,16.7847,16.7847,1927405.8823212
2010-09-17,16.8398,16.9737,16.6157,16.9737,6322413.6789753
2010-09-20,16.7847,17.1602,16.7847,17.1164,2296343.1169956
2010-09-21,17.1164,17.6068,17.0438,17.3327,5957148.5355464
2010-09-22,17.2478,17.4343,17.211,17.3327,2626148.3086959
2010-09-23,17.2995,17.338,16.8818,16.9125,4807810.2457244
2010-09-24,16.9125,16.9449,16.6323,16.6577,8570555.8869038
2010-09-27,16.8267,16.9029,16.7645,16.7847,1655238.2459929
2010-09-28,16.7847,16.8652,16.6279,16.8302,1996355.5346435
2010-09-29,16.7847,16.9125,16.6577,16.7847,3017797.6847129
2010-09-30,16.7645,17.2916,16.7094,17.2916,6219547.1527697
2010-10-01,17.0438,17.2819,16.8687,16.8687,2546483.9167239
2010-10-04,16.9125,17.1007,16.8354,17.1007,2273233.4989023
2010-10-05,17.0377,17.0762,16.8302,16.9869,3960233.3353631
2010-10-06,17.0342,17.1226,16.8775,16.9825,2148959.1947141
2010-10-07,16.9064,17.0762,16.6577,16.6577,2140308.364514
2010-10-08,16.7094,16.8608,16.452,16.5535,2964520.9518527
2010-10-11,16.6385,16.726,16.5316,16.6498,2306463.9258684
2010-10-12,16.5771,16.6498,16.4931,16.5316,2866295.0809287
2010-10-13,16.5947,16.7584,16.5439,16.6997,8780108.3710801
2010-10-14,16.7435,16.7847,16.254,16.2576,10464140.838006
2010-10-15,16.2742,16.3627,16.1149,16.1945,3776360.3620646
2010-10-18,16.2156,16.2795,16.1516,16.2795,2594894.985912
2010-10-19,16.2795,16.5535,16.2576,16.4091,4641623.8456565
2010-10-20,16.2961,16.4896,16.1945,16.2576,7092232.4867234
2010-10-21,16.4047,16.4047,15.9424,16.1516,3852926.0344258
2010-10-22,16.1437,16.1437,15.8444,16.0676,3208498.5775963
2010-10-25,16.1516,16.1516,15.7769,15.8137,2340778.2765024
2010-10-26,15.8137,15.8785,15.5668,15.6044,4118614.1144134
2010-10-27,15.6876,16.0203,15.6876,15.9004,5675147.918337
2010-10-28,16.0632,16.2996,15.9424,16.1096,3369722.2291536
2010-10-29,16.1306,16.1639,15.7726,15.9459,3631100.884485
2010-11-02,16.0256,16.093,15.9836,16.0475,2700381.6605833
2010-11-03,16.0475,16.0676,15.8137,15.8137,2884764.0437404
2010-11-04,15.9424,16.0475,15.8137,15.8575,4962264.2285998
2010-11-05,15.9327,16.1437,15.8575,16.0895,3612474.3015826
2010-11-08,16.1096,16.3049,15.9494,16.1482,4367717.8196313
2010-11-09,16.0387,16.3627,15.959,16.2401,5902256.7678429
2010-11-10,16.2279,16.2322,16.0046,16.0089,4356783.7824639
2010-11-12,15.7296,15.8575,15.5738,15.6044,11680945.095382
2010-11-15,15.8137,15.8285,15.164,15.2796,18304255.527668
2010-11-16,15.3086,15.3086,15.0021,15.101,10795906.00127
2010-11-17,15.1396,15.7944,15.0476,15.5616,12442636.188884
2010-11-18,15.4827,15.7471,15.4136,15.5239,34220902.479252
2010-11-19,15.6334,15.6334,15.4066,15.4066,19406667.575244
2010-11-22,15.5992,15.6377,15.4354,15.4442,9402427.896915
2010-11-23,15.4442,15.4556,15.0678,15.0739,15155737.105489
2010-11-24,15.1781,15.2875,15.0599,15.1361,16566674.490334
2010-11-25,15.1824,15.249,15.0774,15.1308,5039708.233206
2010-11-26,15.1186,15.1308,14.7814,14.8865,10787925.627543
2010-11-29,15.0511,15.0853,14.7648,14.8034,7707831.457383
2010-11-30,14.9251,15.0134,14.7779,14.9671,17620708.591785
2010-12-01,15.0091,15.3724,14.9382,15.2875,7985712.2509151
2010-12-02,15.3523,15.5108,15.2954,15.3461,7923336.9554229
2010-12-03,15.3926,15.4232,15.1106,15.3041,2151531.3718478
2010-12-06,15.3339,15.4766,15.1824,15.4766,5540243.3954173
2010-12-07,15.3759,15.5196,15.3549,15.5196,5369541.9792707
2010-12-08,15.3208,15.516,15.1527,15.2621,5137835.8771169
2010-12-09,15.2674,15.3251,15.1483,15.1824,5292003.1741751
2010-12-10,15.2244,15.4556,15.2044,15.2044,9585198.6717525
2010-12-13,15.3173,15.3803,15.2621,15.3296,1487167.257883
2010-12-14,15.3856,15.4652,15.2454,15.4652,4562889.1837852
2010-12-15,15.3724,15.4556,15.2919,15.4354,2154321.7043245
2010-12-16,15.4101,15.4731,15.2044,15.2289,3551326.8437542
2010-12-17,15.2621,15.2674,15.0975,15.1396,12201544.838281
2010-12-20,15.0975,15.2044,15.0179,15.0555,4172497.3419708
2010-12-21,15.0975,15.0975,14.9758,15.0555,4882746.0349729
2010-12-22,15.101,15.101,15.0258,15.0423,2900005.2212146
2010-12-23,15.0423,15.0599,15.0222,15.0476,2415476.4934401
2010-12-27,15.0397,15.0555,14.9671,15.0336,1278574.2003462
2010-12-28,15.0134,15.0336,14.9697,14.9924,2662250.1625333
2010-12-29,15.0134,15.1186,14.996,15.0555,2608317.8214694
2010-12-30,15.0555,15.101,14.996,15.0056,1453346.3266637
2010-12-31,15.0048,15.0134,14.8103,14.9934,2450191.7473485
2011-01-03,15.0258,15.2831,15.0134,15.2674,2137674.5099535
2011-01-04,15.2674,15.2674,14.8506,14.8506,4772711.2211602
2011-01-05,14.8821,14.8953,14.553,14.8034,4876442.373516
2011-01-07,14.8436,14.8436,14.5958,14.8034,3619065.7910313
2011-01-10,14.6747,14.7106,14.3218,14.4478,6701696.730913
2011-01-11,14.4478,14.7106,14.4058,14.6037,5992356.0666948
2011-01-12,14.5915,14.6344,14.3761,14.5074,4032391.3560551
2011-01-13,14.5915,14.6037,14.0521,14.3822,6747551.6134115
2011-01-14,14.3603,14.5879,14.2535,14.3822,2902892.6385299
2011-01-17,14.44,14.6747,14.3822,14.6747,6014318.9415189
2011-01-18,14.7526,14.9872,14.6747,14.9697,7394421.0394736
2011-01-19,14.9837,15.0678,14.6213,14.7604,4363407.2528006
2011-01-20,14.5915,14.8664,14.5293,14.7561,4199742.7741853
